"OrderID","ProductID"
"CA-2016-152156","FUR-BO-10001798"
"CA-2016-152156","FUR-CH-10000454"
"CA-2016-138688","OFF-LA-10000240"
"US-2015-108966","FUR-TA-10000577"
"US-2015-108966","OFF-ST-10000760"
"CA-2014-115812","FUR-FU-10001487"
"CA-2014-115812","OFF-AR-10002833"
"CA-2014-115812","TEC-PH-10002275"
"CA-2014-115812","OFF-BI-10003910"
"CA-2014-115812","OFF-AP-10002892"
"CA-2014-115812","FUR-TA-10001539"
"CA-2014-115812","TEC-PH-10002033"
"CA-2017-114412","OFF-PA-10002365"
"CA-2016-161389","OFF-BI-10003656"
"US-2015-118983","OFF-AP-10002311"
"US-2015-118983","OFF-BI-10000756"
"CA-2014-105893","OFF-ST-10004186"
"CA-2014-167164","OFF-ST-10000107"
"CA-2014-143336","OFF-AR-10003056"
"CA-2014-143336","TEC-PH-10001949"
"CA-2014-143336","OFF-BI-10002215"
"CA-2016-137330","OFF-AR-10000246"
"CA-2016-137330","OFF-AP-10001492"
"US-2017-156909","FUR-CH-10002774"
"CA-2015-106320","FUR-TA-10000577"
"CA-2016-121755","OFF-BI-10001634"
"CA-2016-121755","TEC-AC-10003027"
"US-2015-150630","FUR-BO-10004834"
"US-2015-150630","OFF-BI-10000474"
"US-2015-150630","FUR-FU-10004848"
"US-2015-150630","OFF-EN-10001509"
"US-2015-150630","OFF-AR-10004042"
"US-2015-150630","OFF-BI-10001525"
"US-2015-150630","OFF-AR-10001683"
"CA-2017-107727","OFF-PA-10000249"
"CA-2016-117590","TEC-PH-10004977"
"CA-2016-117590","FUR-FU-10003664"
"CA-2015-117415","OFF-EN-10002986"
"CA-2015-117415","FUR-BO-10002545"
"CA-2015-117415","FUR-CH-10004218"
"CA-2015-117415","TEC-PH-10000486"
"CA-2017-120999","TEC-PH-10004093"
"CA-2016-101343","OFF-ST-10003479"
"CA-2017-139619","OFF-ST-10003282"
"CA-2016-118255","TEC-AC-10000171"
"CA-2016-118255","OFF-BI-10003291"
"CA-2014-146703","OFF-ST-10001713"
"CA-2016-169194","TEC-AC-10002167"
"CA-2016-169194","TEC-PH-10003988"
"CA-2015-115742","OFF-BI-10004410"
"CA-2015-115742","OFF-LA-10002762"
"CA-2015-115742","FUR-FU-10001706"
"CA-2015-115742","FUR-CH-10003061"
"CA-2016-105816","OFF-FA-10000304"
"CA-2016-105816","TEC-PH-10002447"
"CA-2016-111682","OFF-ST-10000604"
"CA-2016-111682","OFF-PA-10001569"
"CA-2016-111682","FUR-CH-10003968"
"CA-2016-111682","OFF-PA-10000587"
"CA-2016-111682","TEC-AC-10002167"
"CA-2016-111682","OFF-BI-10001460"
"CA-2016-111682","OFF-AR-10001868"
"CA-2015-135545","TEC-AC-10004633"
"CA-2015-135545","OFF-BI-10001078"
"CA-2015-135545","OFF-PA-10003892"
"CA-2015-135545","FUR-FU-10000397"
"US-2015-164175","FUR-CH-10001146"
"CA-2014-106376","OFF-AR-10002671"
"CA-2014-106376","TEC-PH-10002726"
"CA-2016-119823","OFF-PA-10000482"
"CA-2016-106075","OFF-BI-10004654"
"CA-2017-114440","OFF-PA-10004675"
